,id,longid,guid,name,entrytype,entrytype_text,description_short,rock_parent,,rock_parent2,,rock_root,rock_bgs_code,meteoritical_code
41,49542,1:1:49542:6,76107c20-b745-47eb-83e2-c5a3c6b74ec8,CI1 chondrite meteorite,7,rock,A CI chondrite that is of petrologic type 1.,49541,,49840,,1,,CI1
65,49543,1:1:49543:5,546fcda5-726c-4cb2-8e0a-fa64b4256f1c,CK chondrite meteorite,7,rock,"The Karoonda (CK) chemical group of carbonaceous chondrites, distinguished by abundant fine-grained matrix (~75 vol%), mm-sized chondrules that lack igneous rims,  relatively few refractory inclusions, and a high degree of oxidation; most CK chondrites...",49519,,0,,1,,CK
90,49544,1:1:49544:4,f792d969-4fe2-41a9-9ade-3cd7351a377c,CK3 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 3.,49543,,49842,,1,,CK3
116,49548,1:1:49548:0,bac4d1b1-5ca5-48c4-833a-efa7bdbfa7f9,CK4 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 4.,49543,,49843,,1,,CK4
142,49550,1:1:49550:5,513fb5ea-383d-4083-845f-4adc811cdf19,CK5 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 5.,49543,,49844,,1,,CK5
167,49551,1:1:49551:4,193188ee-067e-4c59-8e92-ca8fc0d9de95,CK6 chondrite meteorite,7,rock,A CK chondrite that is of petrologic type 6.,49543,,49845,,1,,CK6
181,49552,1:1:49552:3,c47d65df-ead8-4caa-a956-02b3f4aad3f1,CM chondrite meteorite,7,rock,"The Mighei (CM) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions (0.3 mm), abundant fine-grained matrix (~70 vol%), and abundant hydrated minerals.",49519,,0,,1,,CM
208,49553,1:1:49553:2,39357c7e-ccc2-489f-8af7-1307b5af80c5,CM1 chondrite meteorite,7,rock,A CM chondrite that is of petrologic type 1.,49552,,49840,,1,,CM1
124,49556,1:1:49556:9,57fc2a17-e4f1-4e4f-ad9f-5d113d5c9750,Anomalous CM chondrite meteorite,7,rock,A CM chondrite that is anomalous and for which the petrologic type has not been determined.,49552,,0,,0,,CM-an
231,49557,1:1:49557:8,8e49d88a-ea6e-4c87-bb2e-15b97fc6761b,CM2 chondrite meteorite,7,rock,A CM chondrite that is of petrologic type 2.,49552,,49841,,1,,CM2
3,49559,1:1:49559:6,c8e646e8-80a2-46a2-aa78-7eda291f9b7e,CO chondrite meteorite,7,rock,"The Ornans (CO) chemical group of carbonaceous chondrites, distinguished by small chondrules and refractory inclusions.",49519,,0,,1,,CO
27,49560,1:1:49560:2,6e9c9a96-850e-4856-a6eb-c8ee889b65e2,CO3 chondrite meteorite,7,rock,A CO chondrite that is of petrologic type 3.,49559,,49842,,1,,CO3
53,49571,1:1:49571:8,a60b0d08-6edb-4e44-8b23-d2d7e6818c28,CR chondrite meteorite,7,rock,"The Renazzo (CR) chemical group of carbonaceous chondrites, distinguished by large, abundant porphyritic chondrules (0.7 mm, 50 vol%), many of which have igneous rims, few refractory inclusions, abundant metal (5-8 vol%), and fine-grained matrix that i...",49519,,0,,1,,CR
78,49572,1:1:49572:7,ba12f512-4d41-4c83-9d48-729038ac9133,CR1 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 1.,49571,,49840,,1,,CR1
104,49573,1:1:49573:6,10ebeb1c-ecd1-4781-a7da-f0bba9810795,CR2 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 2.,49571,,49841,,1,,CR2
130,49575,1:1:49575:4,17f0d5ea-6ce9-4f08-b104-d64d1356ec10,CR6 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 6.,49571,,49845,,1,,CR6
155,49576,1:1:49576:3,8cb422e1-c90d-43b2-8283-7366657af48a,CR7 chondrite meteorite,7,rock,A CR chondrite that is of petrologic type 7. Note that perologic type 7 is not used consistently or widely accepted in the literature.,49571,,49846,,0,,CR7
170,49577,1:1:49577:2,ddd477c1-f6b3-4f30-bd8f-8e397717f02f,CV chondrite meteorite,7,rock,"The Vigarano (CV) chemical group of carbonaceous chondrites, distinguished by large (mm-sized) chondrules, many of which are surrounded by igneous rims, large refractory inclusions and abundant matrix (40 vol%); CV chondrites may be divided into oxidiz...",49519,,0,,1,,
198,49578,1:1:49578:1,9d219462-5247-4fd6-b504-0b5e8a6632b1,CV2 chondrite meteorite,7,rock,A CV chondrite that is of petrologic type 2.,49577,,49841,,1,,CV2
221,49579,1:1:49579:0,cd4cfee4-b843-4a07-821c-1d54406ae707,CV3 chondrite meteorite,7,rock,A CV chondrite that is of petrologic type 3.,49577,,49842,,1,,CV3
210,49581,1:1:49581:5,5fb782f3-f128-4673-9aed-cd03e235802b,Ordinary chondrite meteorite,7,rock,"A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.",49515,,0,,1,,OC
118,49584,1:1:49584:2,bb27e2e2-9331-4bb5-9cbf-b7fae43b5420,H chondrite meteorite,7,rock,"The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of...",49581,,0,,1,,H
92,49585,1:1:49585:1,f417c8c1-a218-4ae7-a79d-0e8213892c59,H3 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 3.,49584,,49842,,1,,H3
119,49606,1:1:49606:3,31c0bbab-1e30-4573-a590-9bb0cbaacc3a,H4 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 4.,49584,,49843,,1,,H4
144,49614,1:1:49614:2,45d9ff26-d3da-4115-99fd-272a86210cb0,H5 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 5.,49584,,49844,,1,,H5
168,49619,1:1:49619:7,0d2409c5-725c-4a1c-9835-e9fd536b2ff1,H6 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 6.,49584,,49845,,1,,H6
193,49625,1:1:49625:8,a2e7d04e-8f0d-4a38-a9db-2b7ee300c0e0,H7 chondrite meteorite,7,rock,An H chondrite that is of petrologic type 7. Note that petrologic type 7 is not used consistently or widely accepted in the literature.,49584,,49846,,0,,H7
216,49626,1:1:49626:7,36c10022-7478-4387-a9b4-80d48c63e637,H-an chondrite meteorite,7,rock,An H chondrite that is anomalous and for which the petrologic type has not been determined.,49584,,0,,0,,H-an
63,49627,1:1:49627:6,cfde21b7-2b18-47a6-be2d-1f4040e5ed72,H-imp melt chondrite meteorite,7,rock,An H chondrite that has experienced impact melting and for which the petrologic type has not been determined.,49584,,0,,0,,H-imp melt
80,49628,1:1:49628:5,d907cef8-0fed-4b52-9a3a-dec05572c4d7,H-melt breccia chondrite meteorite,7,rock,An H chondrite that is a breccia with melted material forming the matrix and for which the petrologic type has not been determined.,49584,,0,,0,,H-melt breccia
106,49629,1:1:49629:4,442d3f95-9675-4006-91ae-9cafb7d97daa,H-melt rock chondrite meteorite,7,rock,An H chondrite that has experienced secondary melting and for which the petrologic type has not been determined.,49584,,0,,0,,H-melt rock
132,49630,1:1:49630:0,ea18cebb-5c58-4e90-ada1-50f2dacbbd03,H-metal chondrite meteorite,7,rock,A meteorite that is dominantly composed of Fe-Ni metal. It seems likely that the object was derived from an ordinary H chondrite and was not once part of an extended metal-rich body.,49584,,0,,0,,H-metal
44,49648,1:1:49648:9,f2bd2c79-3606-4846-83c9-e635cf21587b,L chondrite meteorite,7,rock,"The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H chondrites and LL chondrites.",49581,,0,,1,,L
96,49649,1:1:49649:8,bc750161-ed54-4fac-a8d0-4e6cc8000b80,L3 chondrite meteorite,7,rock,An L chondrite that is of petrologic type 3.,49648,,49842,,1,,L3
121,49695,1:1:49695:7,fa939035-1ca8-4139-b906-8a1c14d0c28c,L4 chondrite meteorite,7,rock,An L chondrite that is of petrologic type 4.,49648,,49843,,1,,L4
146,49702,1:1:49702:6,1d6c0559-20f0-4a57-9800-f043cdcac38a,L5 chondrite meteorite,7,rock,An L chondrite that is of petrologic type 5.,49648,,49844,,1,,L5
172,49710,1:1:49710:5,69b5dbed-a113-47a4-a29b-c06a2bfd8ed0,L6 chondrite meteorite,7,rock,An L chondrite that is of petrologic type 6.,49648,,49845,,1,,L6
195,49717,1:1:49717:8,2b637516-2bca-4698-90b0-f960d0c08e05,L7 chondrite meteorite,7,rock,An L chondrite that is of petrologic type 7. Note that petrologic type 7 is not used consistently or widely accepted in the literature.,49648,,49846,,0,,L7
245,49718,1:1:49718:7,cfa8db8a-4ff2-4bb6-b8ac-ec70f822398f,L-imp melt chondrite meteorite,7,rock,An L chondrite that has experienced impact melting and for which the petrologic type has not been determined.,49648,,0,,0,,L-imp melt
45,49719,1:1:49719:6,bace3323-2fb5-4cad-810c-c0056e4a3a1d,L-melt breccia chondrite meteorite,7,rock,An L chondrite that is a breccia with melted material forming the matrix and for which the petrologic type has not been determined.,49648,,0,,0,,L-melt breccia
71,49720,1:1:49720:2,f297980d-76d2-49eb-abbd-4c04dc34cc50,L-melt rock chondrite meteorite,7,rock,An L chondrite that has experienced secondary melting.,49648,,0,,0,,L-melt rock
97,49721,1:1:49721:1,db6c5e37-bc09-4b92-b53e-756e0e9ec450,L-metal chondrite meteorite,7,rock,A meteorite that is dominantly composed of Fe-Ni metal. It seems likely that the object was derived from an ordinary L chondrite and was not once part of an extended metal-rich body.,49648,,0,,0,,L-metal
69,49722,1:1:49722:0,22c04e75-e418-4ce2-b58e-6bb82f445d24,L/LL-melt rock chondrite meteorite,7,rock,An L chondrite or LL chondrite that has experienced secondary melting.,49648,,49745,,0,,L/LL-melt rock
18,49745,1:1:49745:1,ff8c75b0-40cb-4488-b84f-0f5ad876bafa,LL chondrite meteorite,7,rock,"The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line tha...",49581,,0,,1,,LL
31,49746,1:1:49746:0,5ddb6759-f844-4c29-9d84-fe5909440f3d,LL3 chondrite meteorite,7,rock,An LL chondrite that is of petrologic type 3.,49745,,49842,,1,,LL3
56,49768,1:1:49768:2,1dd7ca62-f672-4c83-92e7-c2456689b35a,LL4 chondrite meteorite,7,rock,An LL chondrite that is of petrologic type 4.,49745,,49843,,1,,LL4
82,49772,1:1:49772:5,0a072f51-0182-4dcc-a0a5-c4c561008e8a,LL5 chondrite meteorite,7,rock,An LL chondrite that is of petrologic type 5.,49745,,49844,,1,,LL5
108,49776,1:1:49776:1,11700699-2f1a-48f8-b42f-7ddf85e62b83,LL6 chondrite meteorite,7,rock,An LL chondrite that is of petrologic type 6.,49745,,49845,,1,,LL6
159,49777,1:1:49777:0,c7384636-48cc-4f53-a9dc-879d18951965,LL6-an chondrite meteorite,7,rock,An LL chondrite that is of petrological type 6 and has anomalous properties.,49745,,0,,0,,LL6-an
184,49778,1:1:49778:9,0484fe6c-c5d3-4268-9461-570c46298948,LL6-melt breccia chondrite meteorite,7,rock,An LL6 chondrite that is a breccia with melted material forming the matrix.,49745,,0,,0,,LL6-melt breccia
134,49779,1:1:49779:8,3fb0502d-6822-4fd7-beec-c29d3bebdb93,LL6/7 chondrite meteorite,7,rock,An LL chondrite that is either petrological type 6 or 7.,49745,,0,,0,,LL6/7
228,49780,1:1:49780:4,9116d0b6-d500-4ea7-a76c-37f2d0cf520a,LL-imp melt chondrite meteorite,7,rock,An LL chondrite that has experienced impact melting and for which the petrologic type has not been determined.,49745,,0,,0,,LL-imp melt
6,49781,1:1:49781:3,d6fabdc5-8822-4f3d-8fa3-42bd074028ab,LL-melt breccia chondrite meteorite,7,rock,An LL chondrite that is a breccia with melted material forming the matrix and for which the petrologic type has not been determined.,49745,,0,,0,,LL-melt breccia
21,49782,1:1:49782:2,86e021a9-03c1-401e-ad06-b34595721508,LL-melt rock chondrite meteorite,7,rock,An L chondrite that has experienced secondary melting.,49745,,0,,0,,LL-melt rock
244,49800,1:1:49800:7,edefed6e-7d58-4fb7-ba88-8d1cfbb53bf6,Enstatite chondrite meteorite,7,rock,"A major class of chondrites that mostly have sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot near the terrestrial fractionation line, and highly reduced mineral assemblages (containing little FeO, Si-bearing metal, and s...",49515,,0,,1,,
240,49802,1:1:49802:5,09057454-7bac-4dfe-ad1a-058d39bf4788,Anomalous E chondrite meteorite,7,rock,An E chondrite that is anomalous and for which the petrologic type has not been determined.,49800,,0,,0,,E-an
222,49803,1:1:49803:4,0b46439f-c587-4429-b0d4-c0d4dd803789,E-melt breccia chondrite meteorite,7,rock,An E chondrite that is a breccia with melted material forming the matrix and for which the petrologic type has not been determined.,49800,,0,,0,,E-melt breccia
42,49804,1:1:49804:3,7ae759cc-befb-443f-92d8-e0bac26dc78c,E3 chondrite meteorite,7,rock,An E chondrite that is of petrologic type 3.,49800,,49842,,1,,E3
13,49805,1:1:49805:2,b80bd0d7-fe50-4314-bd47-4feda5761fcb,Anomalous E3 chondrite meteorite,7,rock,An E chondrite that is petrologic type 3 and has anomalous properties.,49804,,0,,0,,E3-an
66,49806,1:1:49806:1,387d7ef5-2747-4a96-80c6-ce7cc91cf128,E4 chondrite meteorite,7,rock,An E chondrite that is of petrologic type 4.,49800,,49843,,1,,E4
91,49807,1:1:49807:0,490e296a-320d-482a-9c3b-a1015e0ff6f8,E5 chondrite meteorite,7,rock,An E chondrite that is of petrologic type 5.,49800,,49844,,1,,E5
37,49808,1:1:49808:9,cf5eb406-5fe4-4426-b21a-a30799000a04,Anomalous E5 chondrite meteorite,7,rock,An E chondrite that is petrologic type 5 and has anomalous properties.,49807,,0,,0,,E5-an
117,49809,1:1:49809:8,e9b2ad2e-6286-4a0f-913a-0dbea339b180,E6 chondrite meteorite,7,rock,An E chondrite that is of petrologic type 6.,49800,,49845,,1,,E6
143,49810,1:1:49810:4,5108acbf-62be-4665-9b0d-70064bc859fc,EH chondrite meteorite,7,rock,"The high-iron (EH) chemical group of enstatite chondrites, distinguished by small chondrules (0.2 mm), abundant metal (~10 vol%) that is rich in Si (~3 wt%), and an extremely reduced mineral assemblage including niningerite (MgS) and perryite (Fe-Ni si...",49800,,0,,1,,EH
158,49811,1:1:49811:3,5dad0c5f-5300-4217-b557-36d1e8b13b8b,EH3 chondrite meteorite,7,rock,An EH chondrite that is of petrologic type 3.,49810,,49842,,1,,EH3
182,49813,1:1:49813:1,3e436388-0466-428e-8cbb-5940f1c0c49e,EH4 chondrite meteorite,7,rock,An EH chondrite that is of petrologic type 4.,49810,,49843,,1,,EH4
209,49814,1:1:49814:0,8a8d7afb-3cc1-4f7f-ba2f-6872365badcb,EH5 chondrite meteorite,7,rock,An EH chondrite that is of petrologic type 5.,49810,,49844,,1,,EH5
232,49815,1:1:49815:9,fd0134eb-b99c-4d05-b0ed-8175bf3cb429,EH6 chondrite meteorite,7,rock,An EH chondrite that is of petrologic type 6.,49810,,49845,,1,,EH6
107,49817,1:1:49817:7,57d4a97c-fbe7-4e1b-b97d-7d82e7fda534,Impact melted EH chondrite meteorite,7,rock,An EH chondrite that has been impact melted.,49810,,0,,0,,EH-imp melt
30,49818,1:1:49818:6,4db0c598-5757-4489-9e3c-a93c4fc72bbe,EH-melt rock chondrite meteorite,7,rock,An EH chondrite that has experienced secondary melting.,49810,,0,,0,,EH-melt rock
4,49819,1:1:49819:5,36c673b0-40a1-453c-b35b-979bd6ac798b,EH7 chondrite meteorite,7,rock,An EH chondrite that is of petrologic type 7. Note that perologic type 7 is not used consistently or widely accepted in the literature.,49810,,49846,,0,,EH7
54,49820,1:1:49820:1,8d59bddb-3ae8-4d54-8c41-452fa525df76,EL chondrite meteorite,7,rock,"The low-iron (EL) chemical group of enstatite chondrites, distinguished by moderately large chondrules (0.6 mm), abundant metal (~10 vol%) that is Si-bearing (~1 wt%), and an extremely reduced mineral assemblage containing ferroan alabandite ((Fe,Mn)S)",49800,,0,,1,,
199,49821,1:1:49821:0,fdbde2de-d28a-41a9-bb40-29e1eb3729b4,EL-melt rock chondrite meteorite,7,rock,An EL chondrite that has experienced secondary melting.,49820,,0,,0,,EL-melt rock
79,49822,1:1:49822:9,a8fb40a7-c6df-4f57-9565-f4d9e7c65412,EL3 chondrite meteorite,7,rock,An EL chondrite that is petrologic type 3.,49820,,49842,,1,,EL3
