,id,name,synid,ima_status,ima_approved
191,49647,H4/6 chondrite meteorite,0,0,0
323,49648,L chondrite meteorite,0,0,0
304,49649,L3 chondrite meteorite,0,0,0
267,49650,L3.0-3.9 chondrite meteorite,0,0,0
306,49651,L3-melt breccia chondrite meteorite,0,0,0
269,49652,L3.0 chondrite meteorite,0,0,0
265,49653,L3.00 chondrite meteorite,0,0,0
268,49654,L3.05 chondrite meteorite,0,0,0
266,49655,L3.0-3.7 chondrite meteorite,0,0,0
272,49656,L3.1 chondrite meteorite,0,0,0
270,49657,L3.10 chondrite meteorite,0,0,0
271,49658,L3.15 chondrite meteorite,0,0,0
275,49659,L3.2 chondrite meteorite,0,0,0
273,49660,L3.2-3.5 chondrite meteorite,0,0,0
274,49661,L3.2-3.6 chondrite meteorite,0,0,0
279,49662,L3.3 chondrite meteorite,0,0,0
276,49663,L3.3-3.5 chondrite meteorite,0,0,0
277,49664,L3.3-3.6 chondrite meteorite,0,0,0
278,49665,L3.3-3.7 chondrite meteorite,0,0,0
280,49666,L3-4 chondrite meteorite,0,0,0
287,49667,L3.5 chondrite meteorite,0,0,0
283,49668,L3.5-3.7 chondrite meteorite,0,0,0
284,49669,L3.5-3.8 chondrite meteorite,0,0,0
285,49670,L3.5-3.9 chondrite meteorite,0,0,0
290,49671,L3.6 chondrite meteorite,0,0,0
289,49672,L3.6-4 chondrite meteorite,0,0,0
296,49673,L3.7 chondrite meteorite,0,0,0
292,49674,L3.7/3.8 chondrite meteorite,0,0,0
293,49675,L3.7-3.9 chondrite meteorite,0,0,0
294,49676,L3.7-4 chondrite meteorite,0,0,0
301,49677,L3.8 chondrite meteorite,0,0,0
300,49678,L3.8-an chondrite meteorite,0,0,0
303,49679,L3.9 chondrite meteorite,0,0,0
302,49680,L3.9/4 chondrite meteorite,0,0,0
324,49682,L(H)3 chondrite meteorite,0,0,0
386,49683,LL(L)3 chondrite meteorite,0,0,0
374,49684,L(LL)3.0 chondrite meteorite,0,0,0
373,49685,L(LL)3.05 chondrite meteorite,0,0,0
381,49686,L(LL)3.5-3.7 chondrite meteorite,0,0,0
376,49688,LL(L)3.1 chondrite meteorite,0,0,0
378,49689,LL(L)3.2 chondrite meteorite,0,0,0
380,49690,L/LL3.4 chondrite meteorite,0,0,0
375,49691,L/LL3.10 chondrite meteorite,0,0,0
382,49692,L/LL3.5 chondrite meteorite,0,0,0
